artists,country,popularity,is_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,artist_count,artists_list
"tymek, urbanski, tymoteusz",PL,69,True,0.755,0.634,8,-8.904,0,0.0781,0.73,0.125,0.237,0.611,124.993,4,169.939,3,"['tymek', 'urbanski', 'tymoteusz']"
"chrystal, notion",PL,92,False,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63e-06,0.55,0.237,137.812,4,233.229,2,"['chrystal', 'notion']"
fagata,PL,70,True,0.791,0.61,2,-9.74,1,0.336,0.0103,0.0,0.0686,0.716,159.98,4,144.0,1,['fagata']
mata,PL,68,False,0.571,0.667,11,-8.365,0,0.0509,0.0389,0.0136,0.166,0.438,78.031,4,235.773,1,['mata']
"majki, kumi, major spz",PL,67,False,0.84,0.548,11,-7.636,1,0.34,0.178,0.0,0.0575,0.786,140.038,4,138.0,3,"['majki', 'kumi', 'major spz']"
"frenna, shallipopi",NL,78,False,0.868,0.731,11,-5.949,0,0.0793,0.0744,0.112,0.0808,0.785,117.016,4,156.08,2,"['frenna', 'shallipopi']"
"roeland beelen, lil kleine",NL,67,True,0.82,0.934,9,-2.96,0,0.0794,0.0986,0.0,0.0848,0.937,125.957,4,146.727,2,"['roeland beelen', 'lil kleine']"
alex warren,NL,95,False,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,186.964,1,['alex warren']
"lustrum u.v.s.v./n.v.v.s.u., jopke van dobbenburgh, roeland beelen",NL,74,True,0.784,0.698,9,-7.786,0,0.0511,0.248,1.44e-06,0.146,0.819,122.998,4,167.804,3,"['lustrum u.v.s.v./n.v.v.s.u.', 'jopke van dobbenburgh', 'roeland beelen']"
samuel welten,NL,78,False,0.469,0.724,1,-7.008,1,0.0526,0.0302,0.0,0.0949,0.501,131.385,4,152.659,1,['samuel welten']
"dior, cristian d",NL,68,True,0.613,0.661,5,-7.671,0,0.406,0.376,0.0,0.108,0.812,128.701,5,158.132,2,"['dior', 'cristian d']"
pommelien thijs,NL,78,False,0.732,0.558,7,-6.816,1,0.124,0.49,0.0,0.0909,0.637,119.999,4,180.013,1,['pommelien thijs']
"zoë livay, snelle",NL,75,False,0.573,0.474,5,-7.992,1,0.0303,0.486,3.85e-06,0.091,0.221,96.749,3,174.288,2,"['zoë livay', 'snelle']"
ed sheeran,NL,92,False,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4,162.029,1,['ed sheeran']
suzan & freek,NL,71,False,0.527,0.231,2,-10.564,1,0.0515,0.911,0.0,0.103,0.306,163.657,4,172.317,1,['suzan & freek']
