artists,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Calvin Harris, Clementine Douglas",NL,89,False,219650,0.721,0.875,11,-4.125,0,0.0557,0.0022,0.0285,0.0888,0.642,129.913,4
sombr,NL,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
"Tate McRae, F1 The Album",NL,91,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
"MOLIY, Silent Addy, Skillibeng, Shenseea",NL,93,True,178775,0.856,0.548,0,-6.609,0,0.123,0.561,0.0,0.155,0.562,97.997,4
"David Guetta, Sia",NL,87,False,187086,0.739,0.761,9,-5.39,0,0.0904,0.107,0.0,0.131,0.417,127.033,4
"Sven Versteeg, Likke Pêhp",NL,71,False,209090,0.712,0.936,10,-3.876,1,0.0301,0.00612,0.0,0.0663,0.814,132.058,4
Emma Heesters,NL,72,False,191404,0.542,0.596,6,-5.651,1,0.0346,0.233,1.11e-06,0.0847,0.235,174.123,3
sombr,NL,96,False,182088,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
Effe Serieus,NL,64,False,140782,0.416,0.866,2,-6.222,1,0.0357,0.0112,0.0,0.376,0.461,127.65,1
"LA$$A, Poke, John West, Billy Dans",NL,69,False,151714,0.935,0.767,7,-4.81,0,0.0515,0.104,0.0,0.291,0.765,105.044,4
Roxy Dekker,NL,74,False,200463,0.561,0.49,3,-6.291,1,0.0427,0.721,0.0,0.0936,0.305,176.014,3
Suzan & Freek,NL,70,False,148965,0.762,0.538,9,-7.739,0,0.0567,0.027,1.11e-06,0.19,0.966,145.039,4
"Noano, Jonna Fraser",NL,71,False,177758,0.839,0.836,3,-4.176,0,0.0455,0.0342,3.05e-05,0.122,0.586,126.986,4
Suzan & Freek,NL,70,False,202943,0.736,0.486,0,-7.627,0,0.043,0.162,0.0,0.121,0.562,110.026,4
Roxy Dekker,NL,71,False,137999,0.716,0.892,0,-4.391,0,0.0412,0.147,0.0,0.285,0.888,119.988,4
"Lady Gaga, Bruno Mars",NL,91,False,251667,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
Yves Berendse,NL,59,False,187357,0.649,0.766,8,-7.688,1,0.0458,0.109,0.0,0.0879,0.541,122.739,4
Benson Boone,NL,91,False,156582,0.533,0.758,2,-4.613,1,0.034,0.0437,0.0,0.16,0.515,149.719,4
Robert van Hemert,NL,69,False,180778,0.577,0.882,9,-4.056,1,0.0505,0.0172,0.0,0.0697,0.637,136.168,4
"ROSÉ, Bruno Mars",NL,89,False,169917,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
"HUGEL, Topic, Arash, Daecolm",NL,89,False,214000,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
Benson Boone,NL,92,False,165746,0.671,0.697,11,-3.851,1,0.116,0.19,0.0,0.393,0.848,119.867,4
